league,season,team,player,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
ENG-Premier League,2025-26,Brighton,Carlos Baleba,CMR,MF,21-240,2004,1.3,52,0,14,30,9,0,52,0,0,,0,,21,63,14,0,0,0,3,0,22,0
ENG-Premier League,2025-26,Brighton,Danny Welbeck,ENG,FW,34-278,1990,1.2,30,0,1,14,16,6,29,0,0,,0,,14,28,13,0,0,0,4,1,20,1
ENG-Premier League,2025-26,Brighton,Diego Gómez,PAR,MF,22-157,2003,0.5,36,3,7,25,5,0,36,2,0,0.0,2,100.0,18,57,35,0,0,0,1,0,23,0
ENG-Premier League,2025-26,Brighton,Ferdi Kadioglu,TUR,"DF,FW",25-328,1999,0.5,28,2,5,19,4,0,28,0,0,,0,,15,49,14,0,0,0,1,0,18,2
ENG-Premier League,2025-26,Brighton,Georginio Rutter,FRA,FW,23-133,2002,0.8,18,0,1,6,11,1,18,1,0,0.0,1,100.0,13,70,27,1,0,1,6,2,15,7
ENG-Premier League,2025-26,Brighton,Jack Hinshelwood,ENG,MF,20-142,2005,0.5,35,0,9,23,4,0,35,0,0,,0,,26,185,98,2,0,0,0,0,31,1
ENG-Premier League,2025-26,Brighton,James Milner,ENG,MF,39-239,1986,0.0,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2025-26,Brighton,Jan Paul van Hecke,NED,DF,25-084,2000,2.0,187,8,90,94,5,1,187,0,0,,0,,138,923,596,2,1,0,0,0,145,0
ENG-Premier League,2025-26,Brighton,Kaoru Mitoma,JPN,FW,28-103,1997,1.9,69,0,4,21,44,6,69,7,2,28.6,4,57.1,49,324,185,5,8,1,4,3,50,16
ENG-Premier League,2025-26,Brighton,Lewis Dunk,ENG,DF,33-283,1991,2.0,212,26,139,72,1,1,212,2,1,50.0,0,0.0,133,512,181,0,0,0,2,0,151,0
ENG-Premier League,2025-26,Brighton,Mats Wieffer,NED,DF,25-288,1999,1.9,125,5,46,51,29,3,125,1,1,100.0,0,0.0,42,248,138,2,2,0,2,3,52,6
ENG-Premier League,2025-26,Brighton,Matt O'Riley,DEN,MF,24-283,2000,2.0,85,1,13,38,34,7,84,1,0,0.0,1,100.0,38,130,48,0,2,0,6,1,55,11
ENG-Premier League,2025-26,Brighton,Maxim De Cuyper,BEL,DF,24-252,2000,1.7,87,4,31,39,17,2,87,1,0,0.0,1,100.0,51,211,94,1,1,1,0,4,61,5
ENG-Premier League,2025-26,Brighton,Yankuba Minteh,GAM,FW,21-040,2004,1.8,66,1,10,22,36,14,66,9,7,77.8,1,11.1,47,357,192,10,3,6,5,3,47,14
ENG-Premier League,2025-26,Brighton,Yasin Ayari,SWE,MF,21-329,2003,1.7,90,3,18,51,23,1,90,1,0,0.0,1,100.0,55,247,79,0,1,0,3,0,66,2
ENG-Premier League,2025-26,Burnley,Hannibal Mejbri,TUN,MF,22-222,2003,2.3,80,2,6,38,38,4,80,4,2,50.0,2,50.0,43,211,111,4,2,1,2,6,47,6
ENG-Premier League,2025-26,Burnley,Hjalmar Ekdal,SWE,DF,26-314,1998,2.9,134,24,71,55,8,7,134,0,0,,0,,61,312,162,1,0,0,0,0,75,0
ENG-Premier League,2025-26,Burnley,Jacob Bruun Larsen,DEN,"FW,MF",26-346,1998,2.0,74,5,16,26,32,6,74,2,1,50.0,1,50.0,36,134,56,1,0,2,4,3,43,13
ENG-Premier League,2025-26,Burnley,Jaidon Anthony,ENG,"FW,MF",25-273,1999,2.9,125,3,19,62,49,8,125,8,3,37.5,2,25.0,65,317,201,3,0,1,11,8,76,14
ENG-Premier League,2025-26,Burnley,Joe Worrall,ENG,DF,28-233,1997,0.2,6,2,6,0,0,0,6,0,0,,0,,0,0,0,0,0,0,0,0,1,0
ENG-Premier League,2025-26,Burnley,Josh Cullen,IRL,MF,29-146,1996,3.0,177,9,37,112,29,3,177,0,0,,0,,75,197,51,2,2,1,2,2,101,1
